0,1,2,3,4,Year
2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011 American League Player Review ← 2010 | 2011 Hitting Statistics League Leaders | 2012 →,2011
Statistic,Name,Team,#,Top 25,2011
Base on Balls,Jose Bautista,Toronto,132,Top 25,2011
Batting Average,Miguel Cabrera,Detroit,.344,Top 25,2011
Doubles,Miguel Cabrera,Detroit,48,Top 25,2011
Hits,Adrian Gonzalez,Boston,213,Top 25,2011
Hits,Michael Young,Texas,213,Top 25,2011
Home Runs,Jose Bautista,Toronto,43,Top 25,2011
On Base Percentage,Miguel Cabrera,Detroit,.448,Top 25,2011
RBI,Curtis Granderson,New York,119,Top 25,2011
Runs,Curtis Granderson,New York,136,Top 25,2011
Slugging Average,Jose Bautista,Toronto,.608,Top 25,2011
Stolen Bases,Coco Crisp,Oakland,49,Top 25,2011
Stolen Bases,Brett Gardner,New York,49,Top 25,2011
Total Bases,Jacoby Ellsbury,Boston,364,Top 25,2011
Triples,Peter Bourjos,Los Angeles,11,Top 25,2011
Triples,Austin Jackson,Detroit,11,Top 25,2011
Statistic,Name,Team,#,Top 25,2011
2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2011
2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012
Statistic,Name,Team,#,Top 25,2012
Base on Balls,Adam Dunn,Chicago,105,Top 25,2012
Batting Average,Miguel Cabrera,Detroit,.330,Top 25,2012
Doubles,Alex Gordon,Kansas City,51,Top 25,2012
Hits,Derek Jeter,New York,216,Top 25,2012
Home Runs,Miguel Cabrera,Detroit,44,Top 25,2012
On Base Percentage,Joe Mauer,Minnesota,.416,Top 25,2012
RBI,Miguel Cabrera,Detroit,139,Top 25,2012
Runs,Mike Trout,Los Angeles,129,Top 25,2012
Slugging Average,Miguel Cabrera,Detroit,.606,Top 25,2012
Stolen Bases,Mike Trout,Los Angeles,49,Top 25,2012
Total Bases,Miguel Cabrera,Detroit,377,Top 25,2012
Triples,Austin Jackson,Detroit,10,Top 25,2012
Statistic,Name,Team,#,Top 25,2012
2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012
2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013 American League Player Review ← 2012 | 2013 Hitting Statistics League Leaders | 2014 →,2013
Statistic,Name,Team,#,Top 25,2013
Base on Balls,Mike Trout,Los Angeles,110,Top 25,2013
Batting Average,Miguel Cabrera,Detroit,.348,Top 25,2013
Doubles,Manny Machado,Baltimore,51,Top 25,2013
Hits,Adrian Beltre,Texas,199,Top 25,2013
Home Runs,Chris Davis,Baltimore,53,Top 25,2013
On Base Percentage,Miguel Cabrera,Detroit,.442,Top 25,2013
RBI,Chris Davis,Baltimore,138,Top 25,2013
Runs,Mike Trout,Los Angeles,109,Top 25,2013
Slugging Average,Miguel Cabrera,Detroit,.636,Top 25,2013
Stolen Bases,Jacoby Ellsbury,Boston,52,Top 25,2013
Total Bases,Chris Davis,Baltimore,370,Top 25,2013
Triples,Brett Gardner,New York,10,Top 25,2013
Statistic,Name,Team,#,Top 25,2013
2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014 American League Player Review ← 2013 | 2014 Hitting Statistics League Leaders | 2015 →,2014
Statistic,Name,Team,#,Top 25,2014
Base on Balls,Carlos Santana,Cleveland,113,Top 25,2014
Batting Average,Jose Altuve,Houston,.341,Top 25,2014
Doubles,Miguel Cabrera,Detroit,52,Top 25,2014
Hits,Jose Altuve,Houston,225,Top 25,2014
Home Runs,Nelson Cruz,Baltimore,40,Top 25,2014
On Base Percentage,Victor Martinez,Detroit,.409,Top 25,2014
RBI,Mike Trout,Los Angeles,111,Top 25,2014
Runs,Mike Trout,Los Angeles,115,Top 25,2014
Slugging Average,Jose Abreu,Chicago,.581,Top 25,2014
Stolen Bases,Jose Altuve,Chicago,56,Top 25,2014
Total Bases,Mike Trout,Los Angeles,338,Top 25,2014
Triples,Michael Bourn,Cleveland,10,Top 25,2014
Triples,Adam Eaton,Chicago,10,Top 25,2014
Statistic,Name,Team,#,Top25,2014
2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014
2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015
Statistic,Name,Team,#,Top 25,2015
Base on Balls,Jose Bautista,Toronto,110,Top 25,2015
Batting Average,Miguel Cabrera,Detroit,.338,Top 25,2015
Doubles,Michael Brantley,Cleveland,45,Top 25,2015
Hits,Jose Altuve,Houston,200,Top 25,2015
Home Runs,Chris Davis,Baltimore,47,Top 25,2015
On Base Percentage,Miguel Cabrera,Detroit,.440,Top 25,2015
RBI,Josh Donaldson,Toronto,123,Top 25,2015
Runs,Josh Donaldson,Toronto,122,Top 25,2015
Slugging Average,Mike Trout,Los Angeles,.590,Top 25,2015
Stolen Bases,Jose Altuve,Houston,38,Top 25,2015
Total Bases,Josh Donaldson,Toronto,352,Top 25,2015
Triples,Eddie Rosario,Minnesota,15,Top 25,2015
Statistic,Name,Team,#,Top 25,2015
2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016
Statistic,Name,Team,#,Top 25,2016
Base on Balls,Mike Trout,Los Angeles,116,Top 25,2016
Batting Average,Jose Altuve,Houston,.338,Top 25,2016
Doubles,David Ortiz,Boston,48,Top 25,2016
Hits,Jose Altuve,Houston,216,Top 25,2016
Home Runs,Mark Trumbo,Baltimore,47,Top 25,2016
On Base Percentage,Mike Trout,Los Angeles,.441,Top 25,2016
RBI,Edwin Encarnacion,Toronto,127,Top 25,2016
RBI,David Ortiz,Boston,127,Top 25,2016
Runs,Mike Trout,Los Angeles,123,Top 25,2016
Slugging Average,David Ortiz,Boston,.620,Top 25,2016
Stolen Bases,Rajai Davis,Cleveland,43,Top 25,2016
Total Bases,Mookie Betts,Boston,359,Top 25,2016
Triples,Adam Eaton,Chicago,9,Top 25,2016
Statistic,Name,Team,#,Top 25,2016
2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017
Statistic,Name,Team,#,Top 25,2017
Base on Balls,Aaron Judge,New York Yankees,127,Top 25,2017
Batting Average,Jose Altuve,Houston Astros,.346,Top 25,2017
Doubles,Jose Ramirez,Cleveland Indians,56,Top 25,2017
Hits,Jose Altuve,Houston Astros,204,Top 25,2017
Home Runs,Aaron Judge,New York Yankees,52,Top 25,2017
On Base Percentage,Mike Trout,Los Angeles Angels,.442,Top 25,2017
RBI,Nelson Cruz,Seattle Mariners,119,Top 25,2017
Runs,Aaron Judge,New York Yankees,128,Top 25,2017
Slugging Average,Mike Trout,Los Angeles Angels,.629,Top 25,2017
Stolen Bases,Whit Merrifield,Kansas City Royals,34,Top 25,2017
Total Bases,Jose Abreu,Chicago White Sox,343,Top 25,2017
Triples,Nick Castellanos,Detroit Tigers,10,Top 25,2017
Statistic,Name,Team,#,Top 25,2017
2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017
2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018
Statistic,Name,Team,#,Top 25,2018
Base on Balls,Mike Trout,Los Angeles Angels,122,Top 25,2018
Batting Average,Mookie Betts,Boston Red Sox,.346,Top 25,2018
Doubles,Alex Bregman,Houston Astros,50,Top 25,2018
Hits,Whit Merrifield,Kansas City Royals,192,Top 25,2018
Home Runs,Khris Davis,Oakland Athletics,48,Top 25,2018
On Base Percentage,Mike Trout,Los Angeles Angels,.460,Top 25,2018
RBI,J.D. Martinez,Boston Red Sox,130,Top 25,2018
Runs,Mookie Betts,Boston Red Sox,129,Top 25,2018
Slugging Average,Mookie Betts,Boston Red Sox,.640,Top 25,2018
Stolen Bases,Whit Merrifield,Kansas City Royals,45,Top 25,2018
Total Bases,J.D. Martinez,Boston Red Sox,358,Top 25,2018
Triples,Yolmer Sanchez,Chicago White Sox,10,Top 25,2018
Triples,Mallex Smith,Tampa Bay Rays,10,Top 25,2018
Statistic,Name,Team,#,Top 25,2018
2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018
2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019
Statistic,Name,Team,#,Top 25,2019
Base on Balls,Alex Bregman,Houston Astros,119,Top 25,2019
Batting Average,Tim Anderson,Chicago White Sox,.335,Top 25,2019
Doubles,Rafael Devers,Boston Red Sox,54,Top 25,2019
Hits,Whit Merrifield,Kansas City Royals,206,Top 25,2019
Home Runs,Jorge Soler,Kansas City Royals,48,Top 25,2019
On Base Percentage,Mike Trout,Los Angeles Angels,.438,Top 25,2019
RBI,Jose Abreu,Chicago White Sox,123,Top 25,2019
Runs,Mookie Betts,Boston Red Sox,135,Top 25,2019
Slugging Average,Mike Trout,Los Angeles Angels,.645,Top 25,2019
Stolen Bases,Mallex Smith,Tampa Bay Rays,46,Top 25,2019
Total Bases,Rafael Devers,Boston Red Sox,359,Top 25,2019
Triples,Hunter Dozier,Kansas City Royals,10,Top 25,2019
Triples,Whit Merrifield,Kansas City Royals,10,Top 25,2019
Triples,Adalberto Mondesi,Kansas City Royals,10,Top 25,2019
Statistic,Name,Team,#,Top 25,2019
2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020
Statistic,Name,Team,#,Top 25,2020
Base on Balls,Carlos Santana,Cleveland Indians,47,Top 25,2020
Batting Average,DJ LeMahieu,New York Yankees,.364,Top 25,2020
Doubles,Cesar Hernandez,Cleveland Indians,20,Top 25,2020
Hits,Jose Abreu,Chicago White Sox,76,Top 25,2020
Home Runs,Luke Voit,New York Yankees,22,Top 25,2020
On Base Percentage,DJ LeMahieu,New York Yankees,.421,Top 25,2020
RBI,Jose Abreu,Chicago White Sox,60,Top 25,2020
Runs,Tim Anderson,Chicago White Sox,45,Top 25,2020
Runs,Jose Ramirez,Cleveland Indians,45,Top 25,2020
Slugging Average,Jose Abreu,Chicago White Sox,.617,Top 25,2020
Stolen Bases,Adalberto Mondesi,Kansas City Royals,24,Top 25,2020
Total Bases,Jose Abreu,Chicago White Sox,148,Top 25,2020
Triples,Kyle Tucker,Houston Astros,6,Top 25,2020
Statistic,Name,Team,#,Top 25,2020
2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020
2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021
Statistic,Name,Team,#,Top 25,2021
Base on Balls,Joey Gallo,Texas Rangers,111,Top 25,2021
Base on Balls,Joey Gallo,New York Yankees,111,Top 25,2021
Batting Average,Yuli Gurriel,Houston Astros,.319,Top 25,2021
Doubles,Jeimer Candelario,Detroit Tigers,42,Top 25,2021
Doubles,J.D. Martinez,Boston Red Sox,42,Top 25,2021
Doubles,Whit Merrifield,Kansas City Royals,42,Top 25,2021
Hits,Bo Bichette,Toronto Blue Jays,191,Top 25,2021
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48,Top 25,2021
Home Runs,Salvador Perez,Kansas City Royals,48,Top 25,2021
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,.401,Top 25,2021
RBI,Salvador Perez,Kansas City Royals,121,Top 25,2021
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123,Top 25,2021
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,.601,Top 25,2021
Stolen Bases,Whit Merrifield,Kansas City Royals,40,Top 25,2021
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363,Top 25,2021
Triples,Shohei Ohtani,Los Angeles Angels,8,Top 25,2021
Statistic,Name,Team,#,Top 25,2021
2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021
2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022
Statistic,Name,Team,#,Top 25,2022
Base on Balls,Aaron Judge,New York Yankees,111,Top 25,2022
Batting Average,Luis Arraez,Minnesota Twins,.316,Top 25,2022
Doubles,José Ramírez,Cleveland Guardians,44,Top 25,2022
Hits,Bo Bichette,Toronto Blue Jays,189,Top 25,2022
Home Runs,Aaron Judge,New York Yankees,62,Top 25,2022
On Base Percentage,Aaron Judge,New York Yankees,.425,Top 25,2022
RBI,Aaron Judge,New York Yankees,131,Top 25,2022
Runs,Aaron Judge,New York Yankees,133,Top 25,2022
Slugging Average,Aaron Judge,New York Yankees,.686,Top 25,2022
Stolen Bases,Jorge Mateo,Baltimore Orioles,35,Top 25,2022
Total Bases,Aaron Judge,New York Yankees,391,Top 25,2022
Triples,Amed Rosario,Cleveland Guardians,9,Top 25,2022
Statistic,Name,Team,#,Top 25,2022
2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022
2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023
Statistic,Name,Team,#,Top 25,2023
Base on Balls,J.P. Crawford,Seattle Mariners,94,Top 25,2023
Batting Average,Yandy Díaz,Tampa Bay Rays,.330,Top 25,2023
Doubles,Corey Seager,Texas Rangers,42,Top 25,2023
Hits,Marcus Semien,Texas Rangers,185,Top 25,2023
Home Runs,Shohei Ohtani,Los Angeles Angels,44,Top 25,2023
On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,Top 25,2023
RBI,Kyle Tucker,Houston Astros,112,Top 25,2023
Runs,Marcus Semien,Texas Rangers,122,Top 25,2023
Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,Top 25,2023
Stolen Bases,Esteury Ruiz,Oakland Athletics,67,Top 25,2023
Total Bases,Shohei Ohtani,Los Angeles Angels,325,Top 25,2023
Triples,Bobby Witt Jr.,Kansas City Royals,11,Top 25,2023
Statistic,Name,Team,#,Top 25,2023
2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023
